First.name;Last.name;GP ;Sub ;G ;A ;YC ;RC ;Min ;Con ;CS ;Team
Patrik;Ingelsten;15;1;5;2;0;0;1042;-;-;Falkenbergs FF
Stefan;Rodevåg;30;3;7;2;0;0;2235;-;-;Falkenbergs FF
Zlatan;Krizanovic;-;-;-;-;-;-;-;-;-;Falkenbergs FF
Emil;Hedvall;26;0;0;0;1;0;2205;36;5;Gefle IF
Oskar;Larsson;0;0;0;0;0;0;0;0;0;Gefle IF
Sasa;Sjanic;5;1;0;0;0;0;405;6;1;Gefle IF
Anders;Wikström;19;0;0;0;3;0;1633;-;-;Gefle IF
David;Fällman;29;0;0;0;1;0;2610;-;-;Gefle IF
Jens;Portin;29;0;1;4;5;0;2555;-;-;Gefle IF
Jesper;Florén;24;3;0;1;1;0;1910;-;-;Gefle IF
Jonas;Olsson;11;1;0;1;0;0;900;-;-;Gefle IF
Olof;Mård;5;0;0;0;0;0;405;-;-;Gefle IF
Skúli;Fridgeirsson;10;3;1;0;2;0;742;-;-;Gefle IF
Anders;Bååth;25;5;2;1;2;0;1805;-;-;Gefle IF
Erik;Olsson;3;3;0;0;0;0;20;-;-;Gefle IF
Johan;Bertilsson;11;10;2;0;0;0;214;-;-;Gefle IF
Jonas;Lantto;27;1;3;0;2;0;2330;-;-;Gefle IF
Marcus;Hansson;29;0;4;0;2;0;2473;-;-;Gefle IF
Oscar;Karlsson;3;3;0;0;0;0;114;-;-;Gefle IF
Robin;Nilsson;30;3;0;0;1;0;2427;-;-;Gefle IF
Simon;Lundevall;29;0;6;8;3;0;2581;-;-;Gefle IF
Sive;Pekezela;0;0;0;0;0;0;0;-;-;Gefle IF
Zakaria;Abdullai;-;-;-;-;-;-;-;-;-;Gefle IF
Dardan;Mustafa;16;14;1;0;0;0;335;-;-;Gefle IF
Dioh;Williams;27;5;5;2;2;0;1850;-;-;Gefle IF
Emil;Bellander;14;12;1;2;0;0;288;-;-;Gefle IF
Jacob;Hjelte;0;0;0;0;0;0;0;-;-;Gefle IF
Johan;Oremo;26;5;8;4;2;0;1799;-;-;Gefle IF
Andreas;Linde;2;0;0;0;0;0;180;5;0;Helsingborgs IF
Daniel;Andersson;0;0;0;0;0;0;0;0;0;Helsingborgs IF
Pär;Hansson;28;0;0;0;0;0;2489;39;5;Helsingborgs IF
Calle;Johansson;12;3;0;0;1;1;682;-;-;Helsingborgs IF
Christoffer;Andersson;24;3;1;3;0;0;1868;-;-;Helsingborgs IF
Emil;Krafth;28;0;1;1;3;0;2424;-;-;Helsingborgs IF
Fredrik;Widlund;0;0;0;0;0;0;0;-;-;Helsingborgs IF
Gustav;Jarl;1;0;0;0;0;0;90;-;-;Helsingborgs IF
Jere;Uronen;24;1;0;3;3;0;2035;-;-;Helsingborgs IF
Jesper;Björkman;17;2;0;0;1;0;1449;-;-;Helsingborgs IF
Loret;Sadiku;11;0;1;0;3;0;917;-;-;Helsingborgs IF
Markus;Holgersson;4;0;0;2;1;0;360;-;-;Helsingborgs IF
Peter;Larsson;29;0;0;1;5;0;2499;-;-;Helsingborgs IF
Abdulrahman;Khalili;12;0;1;2;2;0;1006;-;-;Helsingborgs IF
Alexander;Achinioti-Jönsson;7;2;0;0;1;0;475;-;-;Helsingborgs IF
Andreas;Landgren;-;-;-;-;-;-;-;-;-;Helsingborgs IF
Ardian;Gashi;13;0;0;0;1;0;1055;-;-;Helsingborgs IF
Daniel;Nordmark;1;1;1;0;0;0;17;-;-;Helsingborgs IF
Darijan;Bojanic;10;1;2;0;0;0;575;-;-;Helsingborgs IF
David;Svensson;3;1;0;0;0;0;141;-;-;Helsingborgs IF
Elias;Andersson;9;5;1;1;1;0;356;-;-;Helsingborgs IF
Emmanuel;Boateng;12;9;0;0;0;0;390;-;-;Helsingborgs IF
Johan;Mårtensson;12;0;0;1;4;0;1064;-;-;Helsingborgs IF
Måns;Ekvall;2;2;0;0;1;0;32;-;-;Helsingborgs IF
Mattias;Lindström;24;6;4;3;2;0;1500;-;-;Helsingborgs IF
Victor;Pálsson;12;1;2;1;4;0;1006;-;-;Helsingborgs IF
Álvaro;Santos;15;10;0;4;0;0;467;-;-;Helsingborgs IF
Anton;Kinnander;6;6;0;0;0;0;124;-;-;Helsingborgs IF
Arnór;Smárason;26;10;3;1;5;0;1520;-;-;Helsingborgs IF
David;Accam;25;2;17;4;3;0;2094;-;-;Helsingborgs IF
Jordan;Larsson;9;9;0;1;0;0;212;-;-;Helsingborgs IF
Mikael;Dahlberg;16;0;7;1;2;0;1393;-;-;Helsingborgs IF
Robin;Simovic;11;4;0;0;0;0;496;-;-;Helsingborgs IF
Abbas;Hassan;3;1;0;0;0;0;236;7;1;IF Elfsborg
David;Olsson;0;0;0;0;0;0;0;0;0;IF Elfsborg
Kevin;Stuhr-Ellegaard;28;0;0;0;0;0;2464;23;12;IF Elfsborg
Anders;Svensson;25;2;2;2;4;0;2132;-;-;IF Elfsborg
Andreas;Klarström;18;4;0;0;2;0;1258;-;-;IF Elfsborg
Anton;Lans;10;2;0;0;2;0;769;-;-;IF Elfsborg
Daniel;Mobaeck;19;2;1;1;0;1;1413;-;-;IF Elfsborg
Johan;Larsson;30;0;8;6;1;0;2700;-;-;IF Elfsborg
Jon;Jönsson;11;1;0;1;2;0;903;-;-;IF Elfsborg
Sebastian;Holmén;27;1;0;0;1;0;2316;-;-;IF Elfsborg
Adam;Lundqvist;20;7;1;1;1;0;1239;-;-;IF Elfsborg
Anton;Andreasson;4;4;0;0;0;0;31;-;-;IF Elfsborg
Arber;Zeneli;16;11;1;1;0;0;674;-;-;IF Elfsborg
Henning;Hauger;24;0;0;1;2;0;2051;-;-;IF Elfsborg
Liridon;Gashi;0;0;0;0;0;0;0;-;-;IF Elfsborg
Marcus;Rohdén;28;3;5;1;2;1;2174;-;-;IF Elfsborg
Niklas;Hult;10;1;0;1;1;0;770;-;-;IF Elfsborg
Simon;Hedlund;27;8;1;2;3;0;1532;-;-;IF Elfsborg
Viktor;Claesson;26;3;5;4;2;0;2072;-;-;IF Elfsborg
Lasse;Nilsson;17;6;4;0;0;0;1123;-;-;IF Elfsborg
Mikkel;Beckmann;19;8;2;1;6;0;901;-;-;IF Elfsborg
Per;Frick;23;12;1;2;5;0;1070;-;-;IF Elfsborg
Victor;Rotting;0;0;0;0;0;0;0;-;-;IF Elfsborg
Viktor;Prodell;27;5;6;3;1;0;1867;-;-;IF Elfsborg
John;Alvbåge;19;0;0;0;1;0;1710;21;7;IFK Göteborg
Marcus;Sandberg;11;0;0;0;0;0;990;13;3;IFK Göteborg
Mattias;Hugosson;-;-;-;-;-;-;-;-;-;IFK Göteborg
Sulejmen;Sarajlic;0;0;0;0;0;0;0;0;0;IFK Göteborg
Adam;Johansson;16;1;0;2;3;0;1357;-;-;IFK Göteborg
Emil;Salomonsson;24;2;3;9;0;0;1935;-;-;IFK Göteborg
Hampus;Zackrisson;2;2;0;0;0;0;10;-;-;IFK Göteborg
Hjalmar;Jonsson;9;1;0;0;0;0;730;-;-;IFK Göteborg
Kjetil;Wæhler;19;0;1;0;2;2;1664;-;-;IFK Göteborg
Ludwig;Augustinsson;28;0;1;3;3;0;2520;-;-;IFK Göteborg
Mattias;Bjärsmyr;30;0;0;0;2;0;2700;-;-;IFK Göteborg
Patrick;Dyrestam;0;0;0;0;0;0;0;-;-;IFK Göteborg
Philip;Haglund;7;4;0;1;1;0;310;-;-;IFK Göteborg
Daniel;Sobralense;8;6;0;2;0;0;325;-;-;IFK Göteborg
Darijan;Bojanic;3;3;1;0;0;0;52;-;-;IFK Göteborg
Gustav;Svensson;24;7;0;0;3;1;1494;-;-;IFK Göteborg
Jakob;Johansson;27;0;4;4;3;0;2391;-;-;IFK Göteborg
Joel;Allansson;21;16;0;0;0;0;603;-;-;IFK Göteborg
Karl;Bohm;1;1;0;0;0;0;3;-;-;IFK Göteborg
Martin;Smedberg-Dalence;22;5;2;4;3;0;1426;-;-;IFK Göteborg
May;Mahlangu;24;5;5;1;1;0;1799;-;-;IFK Göteborg
Nordin;Gerzic;-;-;-;-;-;-;-;-;-;IFK Göteborg
Søren;Rieks;12;1;2;2;0;0;927;-;-;IFK Göteborg
Diego;Calvo;3;3;0;0;0;0;20;-;-;IFK Göteborg
Gustav;Engvall;20;7;8;2;0;0;1194;-;-;IFK Göteborg
Kenneth;Zohore;5;5;2;0;0;0;39;-;-;IFK Göteborg
Lasse;Vibe;26;1;23;6;2;0;2113;-;-;IFK Göteborg
Malick;Mané;11;5;1;0;1;0;510;-;-;IFK Göteborg
Robin;Söder;19;4;2;3;2;0;1283;-;-;IFK Göteborg
Sam;Larsson;18;0;2;5;2;0;1521;-;-;IFK Göteborg
Andreas;Lindberg;1;0;0;0;0;0;90;2;0;IFK Norrköping
David;Mitov-Nilsson;22;0;0;0;0;0;1890;39;5;IFK Norrköping
Edvard;Setterberg;0;0;0;0;0;0;0;0;0;IFK Norrköping
Marcus;Sahlman;7;0;0;0;0;0;630;8;3;IFK Norrköping
Andreas;Johansson;29;0;0;2;4;0;2610;-;-;IFK Norrköping
Andreas;Hadenius;3;0;0;0;1;0;250;-;-;IFK Norrköping
Christopher;Telo;28;3;0;4;1;0;2212;-;-;IFK Norrköping
Christopher;Meneses;21;1;1;0;1;0;1616;-;-;IFK Norrköping
David;Boo-Wiklander;18;3;0;0;3;0;1273;-;-;IFK Norrköping
Edvard;Skagestad;18;1;2;0;5;0;1536;-;-;IFK Norrköping
Filip;Dagerstål;2;2;0;0;0;0;21;-;-;IFK Norrköping
Linus;Wahlqvist;24;4;0;2;4;0;1896;-;-;IFK Norrköping
Marcus;Falk-Olander;22;3;1;0;2;0;1727;-;-;IFK Norrköping
Mathias;Florén;0;0;0;0;0;0;0;-;-;IFK Norrköping
Morten;Skjønsberg;9;0;0;0;1;0;810;-;-;IFK Norrköping
Nikola;Tkalcic;20;8;0;1;4;0;1159;-;-;IFK Norrköping
Alexander;Fransson;26;7;2;2;2;0;1831;-;-;IFK Norrköping
Armin;Tankovic;-;-;-;-;-;-;-;-;-;IFK Norrköping
Arnor;Traustason;18;4;3;5;0;0;1194;-;-;IFK Norrköping
James;Frempong;8;5;0;0;0;0;281;-;-;IFK Norrköping
Lars;Krogh-Gerson;19;13;3;0;3;0;636;-;-;IFK Norrköping
Mirza;Halvadzic;2;2;0;0;0;0;3;-;-;IFK Norrköping
Rawez;Lawan;24;1;2;3;2;0;1914;-;-;IFK Norrköping
Siim;Luts;-;-;-;-;-;-;-;-;-;IFK Norrköping
Alhaji;Kamara;26;8;10;3;6;1;1665;-;-;IFK Norrköping
Christoffer;Nyman;30;8;4;0;2;0;1924;-;-;IFK Norrköping
Emir;Kujovic;19;2;10;2;0;1;1445;-;-;IFK Norrköping
Gentrit;Citaku;-;-;-;-;-;-;-;-;-;IFK Norrköping
Isaac;Kiese-Thelin;12;3;0;2;0;0;854;-;-;IFK Norrköping
John;Håkansson;1;0;0;0;0;0;90;4;0;Kalmar FF
Lars;Cramer;22;1;0;0;0;0;1935;27;6;Kalmar FF
Ole;Söderberg;8;0;0;0;0;1;675;13;2;Kalmar FF
Oscar;Johansson;0;0;0;0;0;0;0;0;0;Kalmar FF
Emin;Nouri;19;0;1;1;2;1;1675;-;-;Kalmar FF
Giga;Chkheidze;0;0;0;0;0;0;0;-;-;Kalmar FF
Herman;Sillerström;0;0;0;0;0;0;0;-;-;Kalmar FF
Johan;Ramhorn;1;1;0;0;0;0;1;-;-;Kalmar FF
Ludvig;Öhman;6;3;0;0;0;0;300;-;-;Kalmar FF
Marcus;Nilsson;25;0;1;2;7;1;2210;-;-;Kalmar FF
Markus;Thorbjörnsson;25;0;0;0;0;0;2208;-;-;Kalmar FF
Mats;Solheim;26;0;2;2;2;0;2324;-;-;Kalmar FF
Nenad;Djordjevic;16;2;1;0;3;0;1260;-;-;Kalmar FF
Rasmus;Sjöstedt;-;-;-;-;-;-;-;-;-;Kalmar FF
Sebastian;Ramhorn;10;2;0;0;1;0;699;-;-;Kalmar FF
Stefan;Larsson;2;0;0;0;0;0;180;-;-;Kalmar FF
Archford;Gutu;0;0;0;0;0;0;0;-;-;Kalmar FF
Filip;Sachpekidis;5;4;0;0;0;0;144;-;-;Kalmar FF
Herman;Hallberg;0;0;0;0;0;0;0;-;-;Kalmar FF
Ismael;Silva;19;2;0;1;3;0;1472;-;-;Kalmar FF
Jonathan;Ring;23;2;1;8;4;0;1592;-;-;Kalmar FF
Melker;Hallberg;14;2;1;1;4;0;1116;-;-;Kalmar FF
Oskar;Engström;0;0;0;0;0;0;0;-;-;Kalmar FF
Papa;Diouf;24;9;4;0;2;0;1445;-;-;Kalmar FF
Peter;Westberg;1;1;0;0;0;0;5;-;-;Kalmar FF
Romario;Pereira-Sipiao;26;10;1;0;2;0;1416;-;-;Kalmar FF
Tobias;Eriksson;29;3;3;7;1;0;2368;-;-;Kalmar FF
Tor;Hovda;19;3;1;1;3;1;1346;-;-;Kalmar FF
César;Santin;11;9;0;0;2;0;305;-;-;Kalmar FF
Daniel;Mendes;-;-;-;-;-;-;-;-;-;Kalmar FF
David;Elm;21;6;6;0;4;0;1471;-;-;Kalmar FF
Måns;Söderqvist;27;3;10;2;0;0;2004;-;-;Kalmar FF
Melvin;Platje;4;4;0;0;0;0;63;-;-;Kalmar FF
Pär;Ericsson;14;6;2;0;0;0;672;-;-;Kalmar FF
Sebastian;Andersson;12;6;2;1;2;0;565;-;-;Kalmar FF
Robin;Olsen;29;0;0;0;3;0;2575;28;11;Malmö FF
Sixten;Mohlin;0;0;0;0;0;0;0;0;0;Malmö FF
Zlatan;Azinovic;2;1;0;0;0;0;125;3;0;Malmö FF
Alexander;Blomqvist;0;0;0;0;0;0;0;-;-;Malmö FF
Anton;Tinnerholm;14;0;1;1;3;0;1256;-;-;Malmö FF
Erik;Johansson;25;2;0;0;3;0;2073;-;-;Malmö FF
Filip;Helander;28;1;1;0;0;0;2377;-;-;Malmö FF
Jasmin;Sudic;-;-;-;-;-;-;-;-;-;Malmö FF
Johan;Hammar;7;2;0;0;1;1;484;-;-;Malmö FF
Mahmut;Özen;1;0;0;0;0;0;90;-;-;Malmö FF
Markus;Halsti;26;5;1;2;5;0;1924;-;-;Malmö FF
Matias;Concha;8;1;0;0;1;0;572;-;-;Malmö FF
Miiko;Albornoz;9;0;0;2;0;0;796;-;-;Malmö FF
Pa;Konate;11;2;0;0;0;0;846;-;-;Malmö FF
Pontus;Jansson;9;2;1;0;3;1;621;-;-;Malmö FF
Ricardo;Ferreira;23;1;0;1;3;0;1948;-;-;Malmö FF
Amin;Nazari;10;5;0;1;0;0;573;-;-;Malmö FF
Emil;Forsberg;29;3;14;6;3;0;2224;-;-;Malmö FF
Enock;Adu;15;1;0;1;1;0;1245;-;-;Malmö FF
Erdal;Rakip;15;7;0;2;0;0;593;-;-;Malmö FF
Guillermo;Molins;11;1;8;3;1;0;901;-;-;Malmö FF
Magnus;Eriksson;29;1;5;7;2;0;2266;-;-;Malmö FF
Pawel;Cibicki;21;15;3;1;1;0;679;-;-;Malmö FF
Petar;Petrovic;0;0;0;0;0;0;0;-;-;Malmö FF
Piotr;Johansson;2;1;0;0;0;0;53;-;-;Malmö FF
Simon;Kroon;19;10;0;3;1;0;847;-;-;Malmö FF
Simon;Thern;14;4;2;0;0;0;939;-;-;Malmö FF
Victor;Wernersson;0;0;0;0;0;0;0;-;-;Malmö FF
Agon;Mehmeti;10;5;2;0;2;0;444;-;-;Malmö FF
Isaac;Kiese-Thelin;14;5;5;1;0;0;822;-;-;Malmö FF
Markus;Rosenberg;28;2;15;14;8;0;2263;-;-;Malmö FF
Jacob;Rinne;11;2;0;0;0;0;889;16;1;Örebro SK
Ludwig;Bergström;0;0;0;0;0;0;0;0;0;Örebro SK
Oscar;Jansson;21;0;0;0;1;0;1811;28;5;Örebro SK
Anton;Westerlund;0;0;0;0;0;0;0;-;-;Örebro SK
Ayanda;Nkili;17;10;0;0;4;0;868;-;-;Örebro SK
Boris;Lumbana;1;1;0;0;0;0;1;-;-;Örebro SK
Carl;Ekstrand;-;-;-;-;-;-;-;-;-;Örebro SK
Christoffer;Wiktorsson;10;6;0;1;1;0;478;-;-;Örebro SK
Daniel;Björnkvist;29;0;0;0;0;0;2549;-;-;Örebro SK
Erik;Moberg;25;0;2;0;1;0;2167;-;-;Örebro SK
Ilir;Berisha;5;3;0;0;1;0;198;-;-;Örebro SK
Magnus;Wikström;27;1;0;0;1;0;2281;-;-;Örebro SK
Patrik;Haginge;28;0;2;3;8;0;2517;-;-;Örebro SK
Samuel;Mensah;7;2;0;0;2;0;393;-;-;Örebro SK
Tobias;Nilsson;-;-;-;-;-;-;-;-;-;Örebro SK
Ahmed;Yasin;29;3;2;5;3;0;2362;-;-;Örebro SK
Daniel;Sobralense;11;1;3;6;2;0;822;-;-;Örebro SK
Daniel;Nordmark;10;7;1;0;1;0;367;-;-;Örebro SK
Daniel;Gustavsson;28;9;4;2;1;0;1741;-;-;Örebro SK
Karl;Holmberg;20;13;5;2;0;0;755;-;-;Örebro SK
Lukman;Murad;0;0;0;0;0;0;0;-;-;Örebro SK
Mohammed;Saeid;20;2;2;1;3;0;1581;-;-;Örebro SK
Nordin;Gerzic;28;0;2;7;3;0;2469;-;-;Örebro SK
Robert;Åhman-Persson;19;2;1;5;4;0;1473;-;-;Örebro SK
Alhassan;Kamara;19;4;14;1;4;0;1272;-;-;Örebro SK
Christer;Lipovac;3;3;0;0;0;0;33;-;-;Örebro SK
Marcus;Pode;26;5;10;3;2;0;1598;-;-;Örebro SK
Shpetim;Hasani;13;1;5;0;0;0;1101;-;-;Örebro SK
William;Atashkadeh;0;0;0;0;0;0;0;-;-;Örebro SK
